#,"By agreeing to take part in this survey, you confirm that you have read, understood and agreed with the following statements. Please note that this survey will skip to the end if you disagree to take part: 
 
 _I agree that data gathered in this study will be stored anonymously and securely, and will be used for research purposes only. _
 
 _I understand that my participation is voluntary and that I am free to withdraw at any time without giving reason. _
 
 _I understand that all personal information will remain confidentially within OLIO€™s database, and that no personally identifiable information will be shared with any third party, and that no data will be made available that can allow me to be personally identified in the results of this research. _
 
 _I am 18 years of age or older. _
 
 I agree to take part in this survey:",How would you describe your gender?,What range best describes your age group?,Do you have any physical or mental health conditions or illnesses that are limiting your day to day activities?,Which of the following best describes your household?,"In general, how satisfied are you with your life?","Compared to others in my neighbourhood, I think my life overall is...",How often do you feel that you lack companionship?,How often do you feel isolated from others or left out?,To what extent are you able to turn to friends and family for help when you need it?,"How much do you agree with the following statement? 
 
 Generally, I borrow things and exchange favours with my neighbours.",Foodbank,Neighbours,Close family or friends,Community or faith group,None of the above,Other,"The next questions are about your household€™s diet in the past 12 months, since October of last year, and whether you were able to afford the food you needed. In the past 12 months, was the following statement true for you?
 
 We worried whether our food would run out before we got money to buy more.",food_not_last,We couldn€™t afford to eat balanced meals.,Did you or other adults in your household ever cut the size of your meals or skip meals because there wasn't enough money for food?,How often did this happen?,Did you ever eat less than you felt you should because there wasn't enough money for food?,Were you ever hungry but didn't eat because there wasn't enough money for food?,Did you lose weight because there wasn't enough money for food?,Did you or other adults in your household ever not eat for a whole day because there wasn't enough money for food?,How often did this happen?.1,We relied on only a few kinds of low-cost food to feed our children because we were running out of money to buy food,"We couldn€™t feed our children a balanced meal, because we couldn€™t afford that.",The children were not eating enough because we just couldn't afford enough food.,Did you ever cut the size of any of the children's meals because there wasn't enough money for food?,Did any of the children ever skip meals because there wasn't enough money for food?,How often did this happen?.2,Were the children ever hungry but you just couldn't afford more food?,Did any of the children ever not eat for a whole day because there wasn't enough money for food?,Which of the following best describes the house you currently live in?,Other.1,Do you know the Energy Performance Certificate (EPC) rating for the house you currently live in?,Do you use a prepayment or pay-as-you-go meter to pay for your energy usage?,"How frequently did your household reduce or forego expenses for basic household necessities, such as medicine or food, in order to pay an energy bill?","In the past year, how frequently did your household keep your home at a cold temperature that you felt was unsafe or unhealthy?","In the past year, how frequently did your household run behind on payments for energy bills, or receive a notice to disconnect?","In the last year, was there ever a time your household was unable to use your main source of heat because you could not afford to pay for gas or electricity?",About how many days over the past year has your household gone without heat because you could not afford to pay for gas or electricity?,"In the last year, was there ever a time your household was unable to use your main source of heat because the equipment was broken, and you couldn€™t afford to pay to repair or replace the equipment?","In the past year, did anyone in your household need medical attention because your home was too cold?","In the past year, how often did you worry about making energy payments?","In the past year, how often did you worry about making rent/ mortgage payments?",Consider your grocery shopping habits in the past 12 months. How often have you avoided food that requires cooking to reduce energy usage?,Working full-time,Working part-time,Unemployed,Retired,Not working- looking after house/ children,Not working- long term sick or disabled,Student,Other.2,What is your annual household income before tax?,user_id,Start Date (UTC),Submit Date (UTC),response_time,survey_date,incentivised,"By agreeing to take part in this survey, you confirm that you have read, understood and agreed with the following statements. Please note that this survey will skip to the end if you disagree to take part: 
 
 _I agree that data gathered in this study will be stored anonymously and securely, and will be used for research purposes only. _
 
 _I understand that my participation is voluntary and that I am free to withdraw at any time without giving reason. _
 
 _I understand that all personal information will remain confidentially within OLIOâ€™s database, and that no personally identifiable information will be shared with any third party, and that no data will be made available that can allow me to be personally identified in the results of this research. _
 
 _I am 18 years of age or older. _
 
 I agree to take part in this survey:",food_worry,"The food that we bought just didnâ€™t last, and we didnâ€™t have money to get more.",no_balanced_meal,"We couldn't feed our children a balanced meal, because we couldn't afford that.",Did you ever cut the size of any of the childrenâ€™s meals because there wasn't enough money for food?,"In the last year, was there ever a time your household was unable to use your main source of heat because the equipment was broken, and you couldn't afford to pay to repair or replace the equipment?",food_security_score,child_security_score,fuel_security_score,food_security_label,child_security_label,fuel_security_label
5wmpjj0q01uu95wmpj038l8il4kil8lc,,Male,45 to 49,Yes,Living on my own (NO children or children have left home),7.0,The same,Often,Often,To some extent,Definitely disagree,0,0,0,0,None of the above,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Living in rented accommodation from Housing Association,,C,Yes,0.0,0.0,0.0,0.0,0,,0.0,Never,Never,Never,,,,Retired,,,,,"£24,301- £37,900 p.a.",10723.0,2022-11-22 16:14:00,2022-11-22 16:17:00,00:03:03,2022-11-22,1,1.0,0,Never true,0,0.0,,0.0,0.0,0.0,0.0,High,High,Secure
fmlkhmtsbe2xqyh2ydxwpzfmlkhmxgaw,,Female,35 to 39,No,Living with partner/ spouse (NO children or children have left home),9.0,Much better,Hardly ever or never,Hardly ever or never,To a large extent,Definitely disagree,0,0,0,0,None of the above,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Renting from private landlord,,Don't know,No,0.0,0.0,0.0,0.0,0,,0.0,Never,Never,Never,Working full-time,,,,,,,,"More than £58,900 p.a.",11258.0,2022-11-23 07:31:00,2022-11-23 07:34:00,00:02:46,2022-11-22,1,1.0,0,Never true,0,0.0,,0.0,0.0,0.0,0.0,High,High,Secure
ekgwf0xaedndc9x8ekgw24nweuj6lm1u,,Male,55 to 59,Yes,Living on my own (NO children or children have left home),5.0,The same,Often,Often,To some extent,Definitely disagree,1,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Renting from private landlord,,Don't know,No,0.0,0.0,0.0,0.0,0,,0.0,Never,Some months but not every month,Never,,,Unemployed,,,,,,"£14,901- £24,300 p.a.",11990.0,2022-11-24 19:25:00,2022-11-24 19:31:00,00:05:41,2022-11-22,1,1.0,1,Never true,1,0.0,,0.0,2.0,0.0,0.0,Marginal,High,Secure
